Time elapsed was 446663063ns or 0.446663063s,,0.446663063
Time elapsed was 437040886ns or 0.437040886s,,0.437040886
Time elapsed was 433963778ns or 0.433963778s,,0.433963778
Time elapsed was 470029364ns or 0.470029364s,,0.470029364
Time elapsed was 439539461ns or 0.439539461s,,0.439539461
Time elapsed was 436829055ns or 0.436829055s,,0.436829055
Time elapsed was 435409177ns or 0.435409177s,,0.435409177
Time elapsed was 433484018ns or 0.433484018s,,0.433484018
Time elapsed was 434799734ns or 0.434799734s,,0.434799734
Time elapsed was 435735953ns or 0.435735953s,,0.435735953
,,
Average,,0.4403494489
