Original ,,,
Time elapsed was 109326397ns or 0.109326397s,,0.109326397,
Time elapsed was 108939524ns or 0.108939524s,,0.108939524,
Time elapsed was 111120187ns or 0.111120187s,,0.111120187,
Time elapsed was 109009375ns or 0.109009375s,,0.109009375,
Time elapsed was 111371948ns or 0.111371948s,,0.111371948,
Time elapsed was 111026875ns or 0.111026875s,,0.111026875,
Time elapsed was 111432028ns or 0.111432028s,,0.111432028,
Time elapsed was 111340289ns or 0.111340289s,,0.111340289,
Time elapsed was 111382181ns or 0.111382181s,,0.111382181,
Time elapsed was 111179962ns or 0.111179962s,,0.111179962,
,,,
Average,,0.110612877,
,,,
,,,
,,,
,,,
,,,
