Time elapsed was 62154144ns or 0.062154144s,,0.062154144
Time elapsed was 62065424ns or 0.062065424s,,0.062065424
Time elapsed was 53940495ns or 0.053940495s,,0.053940495
Time elapsed was 53707437ns or 0.053707437s,,0.053707437
Time elapsed was 54102306ns or 0.054102306s,,0.054102306
Time elapsed was 53584099ns or 0.053584099s,,0.053584099
Time elapsed was 53898553ns or 0.053898553s,,0.053898553
Time elapsed was 53641895ns or 0.053641895s,,0.053641895
Time elapsed was 58442219ns or 0.058442219s,,0.058442219
Time elapsed was 53962381ns or 0.053962381s,,0.053962381
,,
Average,,0.0559498953
