Time elapsed was 177575ns or 0.000177575s,,0.000177575
Time elapsed was 218919ns or 0.000218919s,,0.000218919
Time elapsed was 177397ns or 0.000177397s,,0.000177397
Time elapsed was 178735ns or 0.000178735s,,0.000178735
Time elapsed was 222692ns or 0.000222692s,,0.000222692
Time elapsed was 222217ns or 0.000222217s,,0.000222217
Time elapsed was 179685ns or 0.000179685s,,0.000179685
Time elapsed was 181447ns or 0.000181447s,,0.000181447
Time elapsed was 263627ns or 0.000263627s,,0.000263627
Time elapsed was 173223ns or 0.000173223s,,0.000173223
,,
Average,,0.0001995517
